DATE,Y,G,T,GSHK_R,T90_MMO,TFPSHK_FRBNY_P,TBILL3
1979-10-01,41.1067138067382,3.76221731782365,7.14262918782966,0,0,0.170688096,11.8433333333333
1980-01-01,41.0260623407044,3.83966767408342,7.08963533387828,6.208,0,-0.079524283,13.3533333333333
1980-04-01,40.0270891560506,3.95634880662329,6.83811607481111,0,0,-0.3390817,9.61666666666667
1980-07-01,39.8157821502438,3.84846401249162,6.96514837755184,0,0,-0.159561799,9.15333333333333
1980-10-01,40.4007410579361,3.8674074873922,7.11911504239691,0,0,0.483929149,13.6133333333333
1981-01-01,41.0423454021657,3.90429071555075,7.40133711016586,2.495,0,-0.059863537,14.39
1981-04-01,40.6451415247711,4.00860700128889,7.33090552592235,0,0,-0.020494375,14.9066666666667
1981-07-01,40.9685763976914,3.98804703080024,7.36042202470945,0,-0.17,-0.104255156,15.0533333333333
1981-10-01,40.4150596320306,4.05653472836737,7.063519627227,0,0,-0.340231616,11.75
1982-01-01,39.6479332547296,4.05524626546405,6.8003174161977,0,0,0.341328043,12.8133333333333
1982-04-01,39.6963637999709,4.08519902371249,6.75743623869852,0,0,0.125948371,12.42
1982-07-01,39.4411622421037,4.11834017410791,6.54482168209582,0,0,-0.197242954,9.31666666666667
1982-10-01,39.3472070632576,4.21040324802565,6.51045599735909,0,0,0.048242569,7.90666666666667
1983-01-01,39.7423561200561,4.23923042047584,6.50129750314271,0,0,-0.096982716,8.10666666666667
1983-04-01,40.5408520437509,4.30806025266527,6.73226454945825,0,0,0.098214443,8.39666666666667
1983-07-01,41.2356197342892,4.40836181914878,6.57006865440074,0,0,-0.085999254,9.14
1983-10-01,41.9790510224886,4.25023095444702,6.66961020935999,0,0,-0.021135266,8.8
1984-01-01,42.6343074562312,4.28077639922856,6.89353365614813,0,0,-0.098790793,9.17
1984-04-01,43.2419820894971,4.40335726435098,6.94097657442148,0,0,0.04298412,9.79666666666667
1984-07-01,43.5375507848213,4.41312979578288,6.93522281433899,0,0,0.044871332,10.32
1984-10-01,43.7823074221592,4.56439472595185,7.01914203983949,0,0,-0.140691391,8.80333333333333
1985-01-01,44.0945105731538,4.53224273017996,7.4144072078588,0,0,0.21011223,8.18333333333333
1985-04-01,44.3993462641869,4.62404889146914,6.90764468875403,0,0,-0.062994595,7.46
1985-07-01,44.9322912938498,4.7433537198372,7.2927399018011,0,0,0.090992377,7.10666666666667
1985-10-01,45.1507228091547,4.73848408410921,7.32006385634795,0,0,-0.138135228,7.16666666666667
1986-01-01,45.3493511728424,4.66782735735018,7.29146825130907,0,0,0.222846053,6.89666666666667
1986-04-01,45.440512850129,4.77668735612427,7.30299312191038,0,0,-0.077429237,6.14
1986-07-01,45.7164078027922,4.91225416219858,7.39765038039843,0,0,0.136346227,5.52333333333333
1986-10-01,45.8045200628403,4.8168700461137,7.59114330052096,-1.94,0,-0.090134931,5.35333333333333
1987-01-01,46.0108240070813,4.79478346827426,7.54050584453861,0,-0.89,-0.023328374,5.53666666666667
1987-04-01,46.3794957927545,4.83654514821034,8.12620644315229,0,0,0.040169816,5.65666666666667
1987-07-01,46.6501254511896,4.81438157473379,7.97940052705829,0,0,-0.008320144,6.04333333333333
1987-10-01,47.3559827796955,4.8575815403214,8.06507941549566,0,0,-0.04270878,5.86333333333333
1988-01-01,47.4765819061541,4.73324696025008,8.11239974266666,-4.832,0,0.18167702,5.72333333333333
1988-04-01,47.9775076178779,4.68589568622395,8.11457729999484,0,0,-0.087408975,6.21
1988-07-01,48.1272077350444,4.62250041734715,8.13629310747485,0,0,0.07474114,7.01
1988-10-01,48.632740540522,4.73402508159985,8.20618388859517,-1.113,0,0.030739241,7.72666666666667
1989-01-01,49.0297228655604,4.62514341767003,8.43272445779846,0,0,0.023405736,8.54
1989-04-01,49.2877751221631,4.69210837376779,8.32425515158992,0,0,0.027468132,8.41
1989-07-01,49.5343662896893,4.70869577364852,8.34675902100201,0,0,-0.05890897,7.84333333333333
1989-10-01,49.5362228581821,4.66125927785789,8.39681728640746,-8.913,0,-0.031088975,7.65333333333333
1990-01-01,49.6733644270407,4.68338956242486,8.27734337328691,0,0,0.131021324,7.76
1990-04-01,49.7490457868344,4.70696089248253,8.31460142756136,0,0,-0.076039989,7.74666666666667
1990-07-01,49.6641036044217,4.64184453232795,8.33748596361574,0,0,0.032450061,7.47666666666667
1990-10-01,49.0689712220658,4.65545204676519,8.26573590539404,1.864,0,-0.037102349,6.99
1991-01-01,48.7397555608816,4.69533634065095,8.10740996281301,0,0.22,-0.18288748,6.02333333333333
1991-04-01,49.0273313895562,4.69396148021245,8.08520061303556,0,0,0.034660459,5.56
1991-07-01,49.1612350301852,4.64448864760914,8.07933476325526,0,0,-0.016830756,5.37666666666667
1991-10-01,49.2023308642938,4.53498696480856,8.1172653760472,-1.806,0,-0.016673918,4.54
1992-01-01,49.6675601500633,4.52956658783953,8.19271599275611,0,0,0.238032547,3.89333333333333
1992-04-01,50.0959512276942,4.49723960996594,8.24971342465089,0,0,-0.144143845,3.68
1992-07-01,50.4598778259177,4.56602494504923,8.25680545852474,0,0,0.095121881,3.08333333333333
1992-10-01,50.822564852774,4.55218279366243,8.37330815672499,0,0,-0.011997343,3.07
1993-01-01,50.7616641251619,4.37729306662181,8.31708312124281,0,0,-0.05209611,2.96
1993-04-01,50.9413859668585,4.31463192102796,8.53649214824502,0,0,0.033699588,2.96666666666667
1993-07-01,51.0971201273154,4.2966396038531,8.54056425835877,0,0.17,0.06103839,3.00333333333333
1993-10-01,51.6234415994986,4.30508162475537,8.84275100697744,0,0,-0.06818075,3.06
1994-01-01,51.9844609201072,4.14227543905741,8.72800082370703,0,0,0.005736259,3.24333333333333
1994-04-01,52.5745218618964,4.13086047112059,8.99953005694607,0,0,0.016771364,3.98666666666667
1994-07-01,52.7615266152002,4.22100849256113,8.98466667026994,0,0,0.042666917,4.47666666666667
1994-10-01,53.2093075731664,4.10954881770408,9.08482926372963,0,0,0.053677583,5.28
1995-01-01,53.3074406341386,4.1038430893782,9.17358811811446,0,0,-0.027629362,5.73666666666667
1995-04-01,53.3495067738416,4.08865102698878,9.30396819755916,0,0,0.074849531,5.59666666666667
1995-07-01,53.6884547947523,4.04806938118728,9.30294280541106,0,0,-0.012107551,5.36666666666667
1995-10-01,53.9108301870624,3.93479838987218,9.35737089331315,0,0,0.012270042,5.26
1996-01-01,54.2104645331599,3.99456406384014,9.56959207429105,0,0,-0.045323272,4.93
1996-04-01,54.9785921122796,3.98404522315481,9.87832412056234,0,0,0.030880243,5.02
1996-07-01,55.2274113969743,3.9243424631886,9.87062461362408,0,0,-0.02172368,5.09666666666667
1996-10-01,55.6947469059594,3.8899609542662,10.0037200064991,0,0,0.034989163,4.97666666666667
1997-01-01,55.8766834816308,3.81322100074936,10.182843534505,0,0,-0.001000605,5.06
1997-04-01,56.515057525456,3.8955770506348,10.3353533501089,0,0,0.037381375,5.04666666666667
1997-07-01,57.1502667464357,3.8659620807835,10.5192432385824,0,0,0.0503333,5.04666666666667
1997-10-01,57.4633346684007,3.86239824622933,10.6124177203338,0,0,0.113495026,5.09
1998-01-01,57.9332262816522,3.73872351867833,10.7156703436429,0,0,-0.016236733,5.05333333333333
1998-04-01,58.3105819545468,3.81664299424891,10.8381999659543,0,0,0.070504891,4.97666666666667
1998-07-01,58.899803481052,3.80090387441726,11.0049275956199,0,0,0.022850692,4.82333333333333
1998-10-01,59.6772643463099,3.81538954966401,11.1264002215715,0,0,0.051743153,4.25333333333333
1999-01-01,60.0435566577045,3.79654266147454,11.2422575668802,0.161,0,-0.015004248,4.40666666666667
1999-04-01,60.3380824683479,3.79527818175495,11.2914593034288,0,0,-0.043573671,4.45333333333333
1999-07-01,60.93976441631,3.86401867574769,11.4089838301342,0,0,0.010311692,4.65
1999-10-01,61.7744551108599,3.95785306123295,11.5896520194452,0,0,0.082198002,5.04333333333333
2000-01-01,61.1403603971412,3.78620095878799,11.8390604084285,0,0,0.156538895,5.52
2000-04-01,62.0740932365901,3.88398456076013,11.8161083634978,0,0,-0.012891449,5.71333333333333
2000-07-01,61.9148563926844,3.80194733678402,11.8228801099519,0,0,0.047189103,6.01666666666667
2000-10-01,62.0953922353423,3.79747207418721,11.8369025339715,0,0,0.010031466,6.01666666666667
2001-01-01,61.7206060543115,3.8511271929172,11.7579340257044,0,0,-0.03159795,4.81666666666667
2001-04-01,61.8828229533868,3.88964399014494,11.5988693347673,0,0,-0.190922374,3.66
2001-07-01,61.4933652791592,3.91310865675268,10.4436599514964,0.916,0,-0.108481105,3.17
2001-10-01,61.460316922131,3.96014180327487,11.0162162726709,0,0,0.025663889,1.90666666666667
2002-01-01,61.8460547516438,4.09496759796668,10.1072288485948,2.779,0,-0.1433989,1.72
2002-04-01,62.0414451801114,4.18719209353349,10.0656724469482,0,0,0.112367163,1.71333333333333
2002-07-01,62.1230056848018,4.23278017612033,9.98583201357303,0.854,0,0.076592163,1.64333333333333
2002-10-01,62.0068060627618,4.34553275895031,9.96804224969742,0,0,-0.051616635,1.33333333333333
2003-01-01,61.8586226128718,4.38830242661364,9.89928396527123,1.118,0,-0.058122137,1.15666666666667
2003-04-01,62.2248492677529,4.54332486167562,9.95791202128031,0,0,-0.046630585,1.04
2003-07-01,63.0471112663643,4.54210430099003,9.48701852378873,0.362,-1.54,-0.018817113,0.93
2003-10-01,63.5785006361129,4.6181661791288,9.94436836116228,0.676,0,-0.068117143,0.916666666666667
2004-01-01,63.9137760194955,4.67316620542766,9.9649185316472,0,0,0.012203842,0.916666666666667
2004-04-01,64.2279320535983,4.69057762817953,10.1197913219315,0.21,0,-0.096857969,1.07666666666667
2004-07-01,64.6329302950426,4.74033299401688,10.325259390181,0,0,0.087729372,1.48666666666667
2004-10-01,65.0804858647656,4.7254941202017,10.3523440339995,0,0,0.033798571,2.00666666666667
2005-01-01,65.6415293506366,4.79073704298663,11.02928643981,0.799,0,-0.12839052,2.53666666666667
2005-04-01,65.7723101434488,4.78072933038309,11.0379726379238,0,0,0.076139116,2.86333333333333
2005-07-01,66.0468657748891,4.80629574263113,11.1217201045765,0,0,0.03004027,3.36
2005-10-01,66.2041440709213,4.78835004286538,11.289415930678,0,0,-0.042303277,3.82666666666667
